gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3743285713	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/182855795/original.jpg	https://www.inaturalist.org/photos/182855795					2021-08-13T01:20:31Z	Ryan Hodnett		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Ryan Hodnett
3743260851	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/182807420/original.jpeg	https://www.inaturalist.org/photos/182807420					2019-06-11T18:56:49Z	cjwoods		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cjwoods
3743200447	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/180220720/original.jpg	https://www.inaturalist.org/photos/180220720					2021-08-11T00:04:16Z	Ryan Hodnett		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Ryan Hodnett
3743130927	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/182829477/original.jpg	https://www.inaturalist.org/photos/182829477					2007-07-16T22:40:10Z	berkovec		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	berkovec
3743130927	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/182829658/original.jpg	https://www.inaturalist.org/photos/182829658					2007-07-16T22:39:17Z	berkovec		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	berkovec
3743073884	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/182969801/original.jpeg	https://www.inaturalist.org/photos/182969801					2022-03-15T11:09:50Z	stigjohan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	stigjohan
3743056402	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/149736069/original.jpg	https://www.inaturalist.org/photos/149736069					2018-06-27T12:03:32Z	medeia_uccello		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	medeia_uccello
3712735403	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/134049017/original.jpg	https://www.inaturalist.org/photos/134049017					2021-03-25T23:27:35Z	Ryan Hodnett		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Ryan Hodnett
3712697414	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/146884486/original.jpg	https://www.inaturalist.org/photos/146884486					2021-07-24T01:20:30Z	Ehsan Moqanaki		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ehsan Moqanaki
3712697414	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/146884645/original.jpg	https://www.inaturalist.org/photos/146884645					2021-07-24T01:20:26Z	Ehsan Moqanaki		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ehsan Moqanaki
3712671421	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/145116730/original.jpg	https://www.inaturalist.org/photos/145116730					2021-07-21T19:34:25Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
3712639419	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/145903654/original.jpeg	https://www.inaturalist.org/photos/145903654					2021-07-24T19:11:40Z	eppyen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eppyen
3712639413	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/144355836/original.jpeg	https://www.inaturalist.org/photos/144355836					2021-07-15T23:51:17Z	Andy		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andy
3712619379	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/137946336/original.jpeg	https://www.inaturalist.org/photos/137946336					2017-07-09T13:41:18Z	amantedarmanin		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	amantedarmanin
